zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta07g04330	947390.191523271	517678.16561128	1509208.62926914	1368004.63979896	1555178.64004772	1725232.91112089	922681.527191693	725659.28290977	1587531.74701935	2267507.8295558	1166955.78096161	1387231.99795981	1039800.79820089	1048287.7543903	1177760.07312088	1172270.43926285	1000389.7455589	1506513.3498948
ostta09g02610	19438086.4718855	20634833.6943371	20098494.2041181	18763287.7964363	18204533.9156462	20744274.5153535	21425391.904943	22925601.6962684	20596905.4069291	11765744.5679115	16977501.3597794	20548953.0167397	20430143.4514738	20730525.2924334	27034259.4211282	21702530.7697188	19069869.2935805	20102633.4447272
ostta03g03410	8906940.78236532	10237083.6140617	9279656.05315109	8876902.83134531	9939672.37050951	8525327.69284582	8574339.65035458	7875038.70932035	6901503.25076798	6163171.07532686	7463353.36400037	8038825.8053021	10385236.2573968	7308068.13781566	8075272.79380888	9567969.12808002	9950177.39904851	9283380.46756198
ostta02g04060	18483109.3965403	21813246.2526575	17005393.2398566	19224799.692189	25337891.8077337	11973316.6776539	18609842.967745	19001863.3749992	10150020.262343	30571042.6489695	16864382.7658746	14549794.1825021	18510608.5333493	10457344.6594234	16348668.3834621	11890933.6698162	20017649.942265	17008937.7114217
ostta04g03190	2354281.34747582	2906550.39326285	3224100.74889258	3462037.67188647	4449699.00013127	3362752.006206	3299497.65319277	3732574.67452307	4097574.37423175	5248291.10600657	3609925.45186071	3560788.15540614	3278824.09886453	3469444.6607371	3090699.4023441	2910053.9260297	4254985.12074057	3214119.46102412
ostta16g00480	1087575.66558303	1268050.62431991	1330313.70150332	858110.416527816	1211401.24407678	1414977.22368414	1095001.41820605	939073.876229436	1388969.64199836	1054749.44065517	1022967.64782158	1275858.80179091	1160935.78873954	1078720.31296891	1420923.14558319	1164398.50892851	1047605.61967299	1328316.16275652
ostta10g02140	1393982.74361794	1502728.19643621	1628599.28951774	1368446.8129732	1303518.26462997	1383429.67391418	1246291.9453887	1381291.89084811	1509657.91952445	1335178.08572344	1187633.28392136	1605535.54328116	1310601.32253652	1141446.8307277	1093732.06437123	1418574.42705566	1769638.76050319	1625880.96486734
ostta18g01310	2919680.17046019	2445767.31595749	2460186.16481203	3056557.92561365	1999412.08915235	2173047.78913546	3326930.04049994	1949728.24761967	2238962.01472239	3550609.19612336	3131933.94217772	2687578.19182604	2867815.09651122	1711411.70492282	2795335.54818497	2121758.34594298	2255558.34347169	2453813.90059434
ostta04g04040	7085267.02920327	9100423.59319243	7827523.69931859	6587221.06179411	8398171.15320484	7029059.5270484	6379862.83152533	6293742.14096151	6977639.0309878	7073900.19382714	5569623.5184669	6705829.15433197	6048527.7074346	5895295.83247077	6808068.3164224	6043118.94798953	7798103.90145441	7831056.37093268
ostta15g00955	11589875.3557066	13678001.0192558	15063208.6144319	12290034.5039284	17021588.4070483	15736991.0649626	10892086.8437544	11772197.658478	15773000.6131841	13081604.0312552	13960994.2657275	16398219.1449698	9886285.82705991	12869642.4237318	18564862.3077234	11621031.8063882	13915806.0817325	15066450.9038144
